booking_id,customer_id,source,status,checkin,checkout,oyo_rooms,hotel_id,amount,discount,date
2079,71382,0,2,3/7/2017,3/10/2017,1,486,6560,1443,3/6/2017
2080,55529,1,2,3/18/2017,3/19/2017,1,153,2144,453,3/17/2017
2081,52458,4,2,3/31/2017,4/7/2017,1,402,11166,2362,3/29/2017
2082,69650,4,2,3/19/2017,3/20/2017,3,402,4091,866,3/19/2017
2083,67529,1,2,3/17/2017,3/18/2017,1,402,1299,275,3/16/2017
2084,171522,4,2,3/17/2017,3/18/2017,1,402,1624,343,3/17/2017
2085,189413,1,2,3/11/2017,3/12/2017,2,250,5067,1073,3/3/2017
2086,39916,3,2,3/22/2017,3/23/2017,1,250,1884,398,3/22/2017
2087,122584,4,2,3/8/2017,3/10/2017,1,846,6107,1293,3/7/2017
2088,19960,1,2,4/1/2017,4/2/2017,1,405,5004,1058,3/31/2017
2089,130034,4,2,3/21/2017,3/23/2017,1,107,5587,1183,3/14/2017
2090,59986,3,2,3/30/2017,3/31/2017,1,383,2209,468,3/30/2017
2091,70651,4,2,3/21/2017,3/22/2017,1,383,2729,578,3/21/2017
2092,70651,4,2,3/20/2017,3/21/2017,1,383,2469,523,3/20/2017
2093,70651,4,2,3/1/2017,3/2/2017,1,383,2794,591,3/1/2017
2094,106210,0,3,3/30/2017,3/31/2017,1,274,2014,443,3/29/2017
2095,106210,0,2,3/27/2017,3/30/2017,1,274,6930,1525,3/16/2017
2096,59140,4,2,3/2/2017,3/3/2017,1,274,3769,798,3/2/2017
2097,116485,1,2,3/19/2017,3/20/2017,1,56,1950,413,3/17/2017
2098,50932,4,3,3/23/2017,3/27/2017,1,56,15486,3276,3/21/2017
2099,8656,4,2,3/12/2017,3/13/2017,1,583,3054,646,3/12/2017
2100,51469,3,2,3/11/2017,3/12/2017,1,583,2859,605,3/10/2017
2101,8656,4,2,3/10/2017,3/11/2017,1,583,2729,578,3/9/2017
2102,8656,4,2,3/8/2017,3/9/2017,1,583,2274,481,3/8/2017
2103,41098,4,2,3/4/2017,3/5/2017,1,583,2014,426,3/4/2017
2104,17049,4,3,3/20/2017,3/21/2017,1,583,2924,618,3/11/2017
2105,140507,4,2,4/7/2017,4/8/2017,2,245,5792,1225,3/11/2017
2106,66909,4,2,3/8/2017,3/10/2017,1,245,4389,928,3/7/2017
2107,57569,4,2,4/1/2017,4/4/2017,1,944,9122,1929,3/31/2017
2108,83992,4,2,3/15/2017,3/17/2017,1,944,3739,791,3/15/2017
2109,76836,4,2,3/14/2017,3/16/2017,1,944,4347,920,3/6/2017
2110,96585,0,2,4/6/2017,4/7/2017,1,295,2859,629,3/27/2017
2111,70558,1,2,3/25/2017,3/26/2017,1,295,3184,673,3/20/2017
2112,96585,0,2,3/15/2017,3/17/2017,1,295,5067,1114,3/13/2017
2113,30752,0,2,3/14/2017,3/15/2017,1,295,2534,558,3/12/2017
2114,85427,4,2,3/3/2017,3/4/2017,1,295,2599,550,3/3/2017
2115,163829,4,2,3/25/2017,3/27/2017,1,86,5299,1121,3/23/2017
2116,159448,0,2,3/20/2017,3/25/2017,1,86,8860,1949,3/4/2017
2117,47251,0,2,3/16/2017,3/17/2017,1,86,2764,608,3/15/2017
2118,47251,0,2,3/14/2017,3/16/2017,1,86,5754,1266,3/14/2017
