booking_id,customer_id,source,status,checkin,checkout,oyo_rooms,hotel_id,amount,discount,date
1250,197416,1,3,5/10/2017,5/11/2017,1,73,2469,523,2/19/2017
1251,109142,4,2,2/7/2017,2/8/2017,1,73,2794,591,2/7/2017
1252,30922,0,2,2/17/2017,2/18/2017,2,229,9617,2115,2/15/2017
1253,71982,2,3,2/8/2017,2/9/2017,1,229,2989,633,2/8/2017
1254,45602,4,2,2/2/2017,2/3/2017,1,229,3834,811,2/2/2017
1255,194849,0,2,2/26/2017,2/28/2017,1,428,9227,2030,2/25/2017
1256,187033,4,2,2/14/2017,2/15/2017,1,143,8059,1705,2/14/2017
1257,147037,1,2,2/8/2017,2/10/2017,1,143,16117,3410,2/7/2017
1258,23393,4,3,2/22/2017,2/23/2017,1,99,4679,990,2/22/2017
1259,43107,3,3,2/5/2017,2/6/2017,1,99,5134,1086,2/5/2017
1260,43107,3,2,2/1/2017,2/2/2017,1,99,4549,963,2/1/2017
1261,191615,3,3,2/14/2017,2/15/2017,1,901,5264,1113,2/14/2017
1262,119953,4,3,2/15/2017,2/17/2017,1,357,7797,1650,2/14/2017
1263,31583,1,2,2/25/2017,2/26/2017,1,328,3834,811,2/23/2017
1264,171359,4,2,2/20/2017,2/21/2017,1,328,3704,783,2/19/2017
1265,51367,0,2,2/18/2017,2/19/2017,1,328,5004,1101,2/18/2017
1266,40981,3,2,2/10/2017,2/11/2017,1,817,5719,1210,2/10/2017
1267,18934,0,3,4/3/2017,4/4/2017,1,301,3054,672,2/9/2017
1268,134413,4,2,3/5/2017,3/6/2017,1,301,3054,776,2/24/2017
1269,134413,4,3,2/26/2017,2/27/2017,1,301,3054,776,2/23/2017
1270,83516,4,2,2/23/2017,2/24/2017,1,301,2664,563,2/20/2017
1271,74427,0,3,2/15/2017,2/16/2017,1,301,2469,543,2/8/2017
1272,55575,3,2,2/19/2017,2/20/2017,1,301,3184,809,2/19/2017
1273,146873,0,4,2/3/2017,2/4/2017,1,301,3119,686,2/3/2017
1274,27905,4,2,2/5/2017,2/6/2017,1,301,2664,563,2/4/2017
1275,92694,3,2,2/4/2017,2/5/2017,1,301,2859,605,2/4/2017
1276,27492,3,2,2/28/2017,3/1/2017,1,296,2794,591,2/28/2017
1277,130908,4,2,2/15/2017,2/18/2017,1,421,6041,1278,2/14/2017
1278,130908,4,2,2/11/2017,2/15/2017,1,421,8185,1731,2/11/2017
1279,122111,4,2,2/11/2017,2/13/2017,1,421,6172,1306,2/5/2017
1280,122111,4,3,2/11/2017,2/12/2017,2,421,5197,1100,2/4/2017
1281,130908,4,2,2/8/2017,2/10/2017,1,421,3897,825,2/8/2017
1282,142920,4,3,2/22/2017,2/24/2017,1,456,5457,1385,2/21/2017
1283,128226,3,2,2/13/2017,2/14/2017,1,456,2534,536,2/9/2017
1284,45412,4,4,2/12/2017,2/13/2017,1,331,2534,536,2/12/2017
1285,19783,2,2,2/9/2017,2/10/2017,1,331,2794,591,2/9/2017
1286,45412,4,2,2/1/2017,2/2/2017,1,331,2274,481,2/1/2017
1287,90625,0,2,2/1/2017,2/2/2017,1,331,2404,529,2/1/2017
1288,96030,3,2,2/8/2017,2/10/2017,1,308,4612,976,2/8/2017
1289,195179,2,3,3/4/2017,3/6/2017,1,45,6367,1348,2/3/2017
1290,69807,4,2,2/7/2017,2/8/2017,2,93,4027,853,2/7/2017
1291,160056,4,2,2/2/2017,2/3/2017,1,81,2729,578,2/1/2017
1292,158191,3,2,2/26/2017,2/27/2017,1,205,2599,550,2/26/2017
1293,134107,3,2,2/22/2017,2/23/2017,1,205,3054,646,2/21/2017
1294,2029,1,2,2/18/2017,2/19/2017,1,205,3119,660,2/18/2017
1295,191653,4,2,2/11/2017,2/12/2017,1,205,3379,858,2/2/2017
1296,132914,0,2,2/2/2017,2/5/2017,1,205,8966,1972,2/2/2017
1297,33086,4,2,2/16/2017,2/17/2017,1,302,2794,591,2/16/2017
1298,79346,4,2,2/5/2017,2/6/2017,1,683,4874,1031,2/5/2017
1299,36096,1,2,3/19/2017,3/22/2017,1,668,10721,2268,2/14/2017
1300,186656,1,2,3/1/2017,3/3/2017,1,668,5847,1238,2/27/2017
